marca,modelo,ano_modelo,ano_fabr,quilometragem,cor,estado,cambio,motor,tipo_combustivel,preco
CHEVROLET,S10,2019.0,2018,72000.0,Branco,RJ,MANUAL,2.8,DIESEL,109900.0
CHEVROLET,CRUZE,2013.0,2013,73000.0,Vermelho,RJ,AUTOMÁTICO,1.8,FLEX,63999.0
CHEVROLET,CORVETTE,2022.0,2022,4700.0,Cinza,PR,AUTOMÁTICO,6.2,GASOLINA,1569900.0
CHEVROLET,S10,2020.0,2019,58447.0,Branco,RJ,MANUAL,2.8,DIESEL,139000.0
CHEVROLET,TRAILBLAZER,2022.0,2021,49266.0,Branco,SP,AUTOMÁTICO,2.8,DIESEL,271650.0
CHEVROLET,ONIX,2021.0,2021,32134.0,Branco,PE,MANUAL,1.0,FLEX,68900.0
CHEVROLET,S10,2022.0,2021,26715.0,Prata,CE,MANUAL,2.8,DIESEL,182930.0
CHEVROLET,ONIX,2020.0,2020,26023.0,Preto,PE,MANUAL,1.0,FLEX,74900.0
CHEVROLET,TRACKER,2021.0,2020,35721.0,Vermelho,SP,AUTOMÁTICO,1.0,FLEX,107990.0
CHEVROLET,TRACKER,2022.0,2021,31496.0,Preto,RS,AUTOMÁTICO,1.0,FLEX,108160.0
CHEVROLET,ONIX,2019.0,2019,62164.0,Prata,SC,MANUAL,1.0,FLEX,54100.0
CHEVROLET,ONIX,2021.0,2021,24851.0,Branco,SP,MANUAL,1.0,FLEX,62300.0
CHEVROLET,CAMARO,2011.0,2011,97889.0,Branco,PR,AUTOMÁTICO,6.2,GASOLINA,179900.0
CHEVROLET,CRUZE,2021.0,2021,18847.0,Prata,SP,AUTOMÁTICO,1.4,FLEX,109900.0
CHEVROLET,CRUZE,2020.0,2019,45722.0,Branco,SP,AUTOMÁTICO,1.4,FLEX,110000.0
CHEVROLET,ONIX,2019.0,2019,47574.0,Branco,SP,MANUAL,1.0,FLEX,47900.0
CHEVROLET,CRUZE,2021.0,2021,12548.0,Branco,SP,AUTOMÁTICO,1.4,FLEX,114800.0
CHEVROLET,CAMARO,2014.0,2014,41000.0,Branco,SP,AUTOMÁTICO,6.2,GASOLINA,225000.0
CHEVROLET,CRUZE,2019.0,2018,57700.0,Preto,SP,AUTOMÁTICO,1.4,FLEX,88890.0
CHEVROLET,S10,2020.0,2020,50000.0,Cinza,SP,AUTOMÁTICO,2.8,DIESEL,166990.0
CHEVROLET,CAMARO,2020.0,2020,14000.0,Laranja,SP,AUTOMÁTICO,6.2,GASOLINA,429990.0
CHEVROLET,CRUZE,2013.0,2012,72000.0,Branco,RJ,AUTOMÁTICO,1.8,FLEX,54900.0
CHEVROLET,ONIX,2018.0,2017,57981.0,Cinza,SP,AUTOMÁTICO,1.4,FLEX,71900.0
CHEVROLET,SPIN,2013.0,2013,80000.0,Branco,RJ,MANUAL,1.8,FLEX,41900.0
CHEVROLET,CRUZE,2017.0,2016,115000.0,Prata,SP,AUTOMÁTICO,1.4,FLEX,79890.0
CHEVROLET,CRUZE,2022.0,2021,9571.0,Branco,SP,AUTOMÁTICO,1.4,FLEX,124700.0
CHEVROLET,CELTA,2013.0,2012,94000.0,Prata,SP,MANUAL,1.0,FLEX,36900.0
CHEVROLET,CORVETTE,2022.0,2021,1200.0,Vermelho,PR,AUTOMÁTICO,6.2,GASOLINA,1549900.0
CHEVROLET,ONIX,2021.0,2020,80300.0,Preto,SP,AUTOMÁTICO,1.0,FLEX,79950.0
CHEVROLET,ONIX,2022.0,2021,16528.0,Branco,SP,AUTOMÁTICO,1.0,FLEX,87800.0
CHEVROLET,TRACKER,2021.0,2021,43286.0,Vermelho,SP,AUTOMÁTICO,1.2,FLEX,123010.0
CHEVROLET,ONIX,2020.0,2020,19733.0,Branco,SP,AUTOMÁTICO,1.0,FLEX,79400.0
CHEVROLET,EQUINOX,2019.0,2018,52240.0,Preto,SP,AUTOMÁTICO,2.0,GASOLINA,179000.0
CHEVROLET,ONIX,2021.0,2020,20000.0,Cinza,RJ,AUTOMÁTICO,1.0,FLEX,85900.0
CHEVROLET,ONIX,2020.0,2019,100000.0,Branco,SP,AUTOMÁTICO,1.0,FLEX,73900.0
CHEVROLET,TRACKER,2018.0,2018,63000.0,Cinza,SP,AUTOMÁTICO,1.4,FLEX,86900.0
CHEVROLET,S10,2015.0,2015,210000.0,Preto,SP,AUTOMÁTICO,2.8,DIESEL,124900.0
CHEVROLET,ONIX,2020.0,2019,71841.0,Preto,SP,AUTOMÁTICO,1.0,FLEX,81890.0
CHEVROLET,ONIX,2021.0,2020,40989.0,Prata,SP,AUTOMÁTICO,1.0,FLEX,78900.0
CHEVROLET,ONIX,2021.0,2020,78503.0,Preto,SP,AUTOMÁTICO,1.0,FLEX,74100.0
CHEVROLET,ONIX,2021.0,2020,19184.0,Prata,SP,AUTOMÁTICO,1.0,FLEX,80500.0
CHEVROLET,ONIX,2022.0,2021,15432.0,Branco,SP,AUTOMÁTICO,1.0,FLEX,89700.0
CHEVROLET,CRUZE,2014.0,2014,188244.0,Branco,SP,MANUAL,1.8,FLEX,57900.0
CHEVROLET,CRUZE,2012.0,2011,139778.0,Branco,SP,AUTOMÁTICO,1.8,FLEX,54990.0
CHEVROLET,SPIN,2023.0,2022,1500.0,Branco,SP,AUTOMÁTICO,1.8,FLEX,119900.0
CHEVROLET,SUBURBAN,2021.0,2021,100.0,Preto,SP,AUTOMÁTICO,6.2,nan,1350000.0
CHEVROLET,CAMARO,2015.0,2015,43000.0,Branco,SP,AUTOMÁTICO,6.2,GASOLINA,313890.0
CHEVROLET,ONIX,2021.0,2020,46115.0,Branco,SP,MANUAL,1.0,FLEX,78990.0
CHEVROLET,ONIX,2019.0,2019,34200.0,Preto,SP,AUTOMÁTICO,1.4,FLEX,71900.0
CHEVROLET,S10,2021.0,2020,33000.0,Branco,SP,MANUAL,2.8,DIESEL,168890.0
CHEVROLET,CRUZE,2015.0,2015,72000.0,Prata,SP,AUTOMÁTICO,1.8,FLEX,67999.0
CHEVROLET,ONIX,2018.0,2017,51000.0,Branco,SP,AUTOMÁTICO,1.4,FLEX,71490.0
CHEVROLET,ONIX,2019.0,2018,43000.0,Cinza,RJ,MANUAL,1.0,FLEX,59900.0
CHEVROLET,CRUZE,2022.0,2022,17000.0,Branco,SP,AUTOMÁTICO,1.4,FLEX,114900.0
CHEVROLET,SPIN,2022.0,2021,22180.0,Branco,SP,MANUAL,1.8,FLEX,84890.0
CHEVROLET,ONIX,2021.0,2020,32071.0,Preto,SP,AUTOMÁTICO,1.0,FLEX,79300.0
CHEVROLET,ONIX,2021.0,2020,34003.0,Branco,SP,AUTOMÁTICO,1.0,FLEX,79200.0
CHEVROLET,TRAILBLAZER,2021.0,2020,9879.0,Preto,SP,AUTOMÁTICO,2.8,DIESEL,289900.0
CHEVROLET,CRUZE,2018.0,2018,60000.0,Preto,SP,AUTOMÁTICO,1.4,FLEX,89900.0
CHEVROLET,TRAILBLAZER,2020.0,2019,56000.0,Cinza,SP,AUTOMÁTICO,2.8,DIESEL,228990.0
CHEVROLET,PRISMA,2019.0,2019,65253.0,Prata,MG,MANUAL,1.0,FLEX,57700.0
CHEVROLET,S10,2019.0,2018,151044.0,Branco,SP,AUTOMÁTICO,2.5,FLEX,128000.0
CHEVROLET,ONIX,2018.0,2018,73000.0,Branco,RJ,MANUAL,1.0,FLEX,46900.0
